siteid,cluster,cluster_agc_ward,average_hour_count,longitude,latitude,color1,color2,color3,color4,color5,color6
27.0,0,1,6.47,4.34013,50.92127,20.0,20.0,255.0,255.0,20.0,20.0
28.0,0,1,2.1,5.30314,50.75488,20.0,20.0,255.0,255.0,20.0,20.0
29.0,0,1,2.68,5.52825,50.79286,20.0,20.0,255.0,255.0,20.0,20.0
30.0,0,1,5.48,5.17691,50.94374,20.0,20.0,255.0,255.0,20.0,20.0
31.0,0,1,5.88,5.1775,50.94366,20.0,20.0,255.0,255.0,20.0,20.0
32.0,0,1,1.57,5.20961,50.97971,20.0,20.0,255.0,255.0,20.0,20.0
33.0,0,1,1.46,5.20936,50.97978,20.0,20.0,255.0,255.0,20.0,20.0
34.0,0,1,1.81,5.3033,50.75486,20.0,20.0,255.0,255.0,20.0,20.0
35.0,0,1,6.44,5.6314,50.88112,20.0,20.0,255.0,255.0,20.0,20.0
36.0,0,1,4.06,5.63012,50.88131,20.0,20.0,255.0,255.0,20.0,20.0
37.0,0,1,4.88,5.29211,51.23299,20.0,20.0,255.0,255.0,20.0,20.0
38.0,0,1,5.0,5.29189,51.23277,20.0,20.0,255.0,255.0,20.0,20.0
39.0,0,1,4.24,5.47817,51.13425,20.0,20.0,255.0,255.0,20.0,20.0
40.0,0,1,4.87,5.47892,51.13438,20.0,20.0,255.0,255.0,20.0,20.0
41.0,0,1,2.41,5.69799,50.97025,20.0,20.0,255.0,255.0,20.0,20.0
42.0,0,1,2.2,5.6981,50.97043,20.0,20.0,255.0,255.0,20.0,20.0
43.0,0,1,6.28,5.79715,51.09344,20.0,20.0,255.0,255.0,20.0,20.0
44.0,0,1,6.53,5.79726,51.09359,20.0,20.0,255.0,255.0,20.0,20.0
45.0,0,1,3.76,5.44377,51.23127,20.0,20.0,255.0,255.0,20.0,20.0
46.0,0,1,4.09,5.44375,51.231,20.0,20.0,255.0,255.0,20.0,20.0
47.0,3,1,8.69,4.41497,50.91372,52.0,52.0,52.0,255.0,20.0,20.0
48.0,3,0,12.06,5.60389,51.00509,52.0,52.0,52.0,20.0,20.0,255.0
49.0,0,1,6.07,5.41001,50.95264,20.0,20.0,255.0,255.0,20.0,20.0
50.0,3,1,7.85,3.16252,51.19291,52.0,52.0,52.0,255.0,20.0,20.0
